word,count
tribunal,6231
paint,14893
sultan,6767
nursing,15395
correct,7114
anyone,14536
remains,8261
pound,7012
prayer,15715
nuance,45305
couple,11472
elle,7851
single,25376
defense,31033
terror,24238
silicon,11214
ga,6299
mango,9408
message,16516
signal,32676
fact,14339
devil,14696
lay,16547
thinking,44277
aid,31760
turtle,11232
cute,18619
starting,14116
boot,13457
level,18571
poetry,31466
beginning,10373
mon,5890
bright,14871
machine,28414
meditation,6451
union,41480
weather,89631
worker,8358
huge,13563
serve,9819
lawyer,25116
em,12984
launch,21682
deception,5586
rogue,8881
forest,20384
adult,16382
seat,15323
worry,7340
ten,32224
committee,30927
motion,11304
mag,6366
ruptured,6195
tango,6199
unlikely,6733
writer,14040
screaming,5875
restraint,7772
shift,7066
purchase,9848
flamingo,5284
design,93257
exclusive,16769
address,16659
branch,11666
empty,8807
antibody,27464
airplane,10695
livable,8517
grow,16586
marijuana,12712
innovation,33490
double,71553
inspire,9975
gym,5330
employer,9047
graphic,9086
aesthetics,5753
burton,7946
prosecution,7257
relationship,8448
environmental,24953
salute,5062
senior,50265
japan,40592
portal,57863
effective,9064
boy,34933
circus,8263
race,87769
turn,14194
twist,7923
hotel,19398
curry,7252
doctrine,10907
maternity,6012
productivity,11202
keeping,18672
regular,5005
eric,41529
straight,16760
sunrise,7486
caroline,14250
quit,9757
condition,46924
monitor,11781
chicken,21679
animation,8065
soul,20351
kitchen,110493
got,62563
blackberry,6841
desire,9509
seed,14542
competitive,5640
conference,44957
chip,25002
pair,5819
paying,54062
kit,26098
colin,24047
international,160648
shipping,7390
upgrade,9959
privacy,159811
silva,5260
environment,37386
spin,14482
avoid,9770
keen,5511
adobe,5681
office,73732
series,41046
satire,11428
brownback,5842
awakening,5153
allegedly,14267
town,35688
cope,5355
purple,19163
sunshine,15988
bet,5154
carr,7082
fourth,16775
per,20407
swan,8330
provider,25724
comic,11635
curse,5641
edit,6952
shaw,5466
obesity,20473
burden,5750
federalist,8934
recovery,20704
solution,12946
conscience,11476
riot,6530
franklin,13236
journalist,11250
binge,5016
tribal,7963
minimum,11498
incompetence,8262
warm,8445
morris,14480
copy,9133
glitter,7422
solidarity,6605
opening,19001
jaguar,5215
cheese,22159
desperate,5564
poet,6387
digs,6874
belly,6419
