Unnamed: 0,company_name,company_id,url,vertical,missing_vertical,vert_code,vert_desc,company_name_short,is_small_name
7180,FINTAX LIMITED,05292362,http://www.fintaxadvisors.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,fintax,0
7257,FKGB ACCOUNTING LTD,07495617,http://www.fkgb.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,fkgb accounting,0
7345,FN ACCOUNTING SERVICES LIMITED,08468593,http://www.fnaccounting.co.za,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,fn accounting services,0
7432,FORTRESS LAW LIMITED,09230055,http://www.fortress-law.co.uk,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,0,69109.0,activities of patent and copyright agents other legal activities nec,fortress law,0
7484,FRANCIS GRAY LIMITED,04345299,http://www.francisgray.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,francis gray,0
7498,FRASER RUSSELL LIMITED,04832383,http://www.fraserrussell.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,fraser russell,0
7524,FRENCH LAW MATTERS LIMITED,08291972,http://www.frenchlawmatters.com,69102 - Solicitors,0,69102.0,solicitors,french law matters,0
7564,FROGFOOT LIMITED,05434242,http://www.frogfoot.com,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,frogfoot,0
7642,FURNIVAL CHAMBERS LIMITED,02559366,http://www.furnivalchambers.co.uk,69101 - Barristers at law,0,69101.0,barristers at law,furnival chambers,0
7702,G.H. ATTENBOROUGH & CO. LIMITED,05487351,http://www.attenboroughs.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,g.h. attenborough & co.,0
7892,GERAINT JONES & CO LTD,08786818,http://www.geraintjonessolicitors.co.uk,69102 - Solicitors,0,69102.0,solicitors,geraint jones & co,0
7895,GERBER LANDA & GEE LIMITED,SC447990,http://www.gerberlandagee.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,gerber landa & gee,0
8048,GLOBAL LINK ACCOUNTANTS LTD,08555605,http://www.globallinkaccountants.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,global link accountants,0
8121,GODFREY MANSELL & CO. LIMITED,02310855,http://www.godfreymansell.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,godfrey mansell & co.,0
8176,GORDON LUTTON SOLICITORS LIMITED,09186189,http://www.gordonlutton.co.uk,69102 - Solicitors,0,69102.0,solicitors,gordon lutton solicitors,0
8194,GOWENS LAW LIMITED,08612063,http://www.gowens.co.uk,69102 - Solicitors,0,69102.0,solicitors,gowens law,0
8309,GREENAWAY SCOTT LIMITED,08259989,http://www.greenawayscott.com,69102 - Solicitors,0,69102.0,solicitors,greenaway scott,0
8354,GREGORY PRIESTLEY & STEWART LIMITED,03692298,http://www.gpsaccountants.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,gregory priestley & stewart,0
8358,GRENFELL JAMES LIMITED,02015404,http://www.gjassociates.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,grenfell james,0
8431,GUILDHALL LIMITED,02738761,http://www.guildhall.co.uk,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,0,69109.0,activities of patent and copyright agents other legal activities nec,guildhall,0
8444,GUNEY CLARK & RYAN SOLICITORS LIMITED,06576909,http://www.guneyclarkryan.com,69102 - Solicitors,0,69102.0,solicitors,guney clark & ryan solicitors,0
8483,H3P LIMITED,08859957,http://www.h3p.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,h3p,1
8505,HAFSA LTD,08310559,http://www.hafsatravels.com,69203 - Tax consultancy,0,69203.0,tax consultancy,hafsa,0
8524,HALF PENNY ACCOUNTANTS LIMITED,04182243,http://www.half-penny.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,half penny accountants,0
